Nom;ISIN;Ticker;Devise;Capitalisation (LC Mds);Pays;Secteur;Industrie;Responsable;ESG_RATING;Rating ESG SG;OVERALL_FLAG;SG;JP;ODDO;SG;JP;ODDO;Couverture ;DJ 30;S&P 500;STOXX 600;SBF 120;CAC 40;CAC PME
ATLAS COPCO-A;SE0011166610;ATCOA SS EQUITY;SEK;696,32;SWEDEN;Industrie;Biens d'investissement;Yann;AA;77,81;Green;HOLD;OVERWEIGHT;NOT RATED;OUI;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
ATOS SE;FR0000051732;ATO FP EQUITY;EUR;4,89;FRANCE;Technologies de l'information;Logiciels et services;Moad;AAA;70,52;Green;BUY;NEUTRAL;NEUTRAL;OUI;OUI;OUI;OUI;NON;NON;OUI;OUI;OUI;NON
ATRESMEDIA CORP;ES0109427734;A3M SM EQUITY;EUR;0,80;SPAIN;Services de communication;Médias et divertissement;Cédric;BB;NR;Yellow;HOLD;OVERWEIGHT;NEUTRAL;OUI;OUI;OUI;OUI;NON;NON;NON;NON;NON;NON
AUTO TRADER;GB00BVYVFW23;AUTO LN EQUITY;GBp;615,87;BRITAIN;Services de communication;Médias et divertissement;Cédric;A;NR;Green;HOLD;UNDERWEIGHT;NEUTRAL;OUI;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
AUTOLIV INC-SDR;SE0000382335;ALIV SS EQUITY;SEK;74,63;SWEDEN;Consommation discrétionnaire;Automobiles et composants auto;Yann;BBB;NR;Green;NOT RATED;NOT RATED;OUTPERFORM;NON;NON;OUI;OUI;NON;NON;NON;NON;NON;NON
AVIVA PLC;GB0002162385;AV/ LN EQUITY;GBp;1569,47;BRITAIN;Finance;Assurance;Chantal;AA;NR;Yellow;HOLD;OVERWEIGHT;NOT RATED;OUI;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
AXA;FR0000120628;CS FP EQUITY;EUR;57,55;FRANCE;Finance;Assurance;Chantal;AAA;75,53;Yellow;BUY;OVERWEIGHT;OUTPERFORM;OUI;OUI;OUI;OUI;NON;NON;OUI;OUI;OUI;NON
AZIMUT HOLDING;IT0003261697;AZM IM EQUITY;EUR;3,22;ITALY;Finance;Services financiers diversifi;Chantal;BB;NR;Green;HOLD;NOT RATED;NOT RATED;OUI;NON;OUI;OUI;NON;NON;NON;NON;NON;NON
BBVA;ES0113211835;BBVA SM EQUITY;EUR;38,50;SPAIN;Finance;Banques;Chantal;AAA;54,12;Orange;BUY;OVERWEIGHT;NEUTRAL;OUI;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
BANCO BPM SPA;IT0005218380;BAMI IM EQUITY;EUR;4,12;ITALY;Finance;Banques;Chantal;BBB;67,18;Orange;BUY;NEUTRAL;NOT RATED;OUI;OUI;NON;OUI;NON;NON;OUI;NON;NON;NON
BANCO SABADELL;ES0113860A34;SAB SM EQUITY;EUR;3,46;SPAIN;Finance;Banques;Chantal;AA;59,24;Green;HOLD;NEUTRAL;NEUTRAL;OUI;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
BANCO SANTANDER;ES0113900J37;SAN SM EQUITY;EUR;56,08;SPAIN;Finance;Banques;Chantal;BBB;50;Orange;BUY;NEUTRAL;NEUTRAL;OUI;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
MILLENNIUM;PLBIG0000016;MIL PW EQUITY;PLN;6,34;POLAND;Finance;Banques;Chantal;A;62,07;Orange;HOLD;NOT RATED;NOT RATED;OUI;NON;OUI;OUI;NON;NON;NON;NON;NON;NON
BANK OF AMERICA;US0605051046;BAC US EQUITY;USD;337,86;UNITED STATES;Finance;Banques;Chantal;BBB;60,59;Orange;BUY;OVERWEIGHT;NOT RATED;OUI;OUI;OUI;OUI;NON;OUI;NON;NON;NON;NON
BANK OF IRELAND;IE00BD1RP616;BIRG ID EQUITY;EUR;5,43;IRELAND;Finance;Banques;Chantal;BB;NR;Orange;BUY;NEUTRAL;NOT RATED;OUI;OUI;NON;OUI;NON;NON;OUI;NON;NON;NON
PEKAO;PLPEKAO00016;PEO PW EQUITY;PLN;26,39;POLAND;Finance;Banques;Chantal;A;67,03;Green;BUY;OVERWEIGHT;NOT RATED;OUI;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
BANKINTER;ES0113679I37;BKT SM EQUITY;EUR;4,35;SPAIN;Finance;Banques;Chantal;A;62,94;Green;HOLD;UNDERWEIGHT;NEUTRAL;OUI;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
BARCLAYS PLC;GB0031348658;BARC LN EQUITY;GBp;3123,23;BRITAIN;Finance;Banques;Chantal;A;54,71;Orange;HOLD;OVERWEIGHT;NOT RATED;OUI;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
BASF SE;DE000BASF111;BAS GR EQUITY;EUR;61,78;GERMANY;Matériaux;Matériaux;Jeremy;A;70,17;Orange;BUY;NEUTRAL;NOT RATED;OUI;OUI;NON;OUI;NON;NON;OUI;NON;NON;NON
